"Gene","GO:0031625","GO:0001664","GO:0044389","GO:0017111","GO:0031996","GO:0070851","GO:0005525","GO:0003924","GO:0032550","GO:0097718"
"MAP1LC3B","1","0","1","0","0","0","0","0","0","0"
"BTBD2","1","0","1","0","0","0","0","0","0","0"
"SUMO2","1","0","1","0","0","0","0","0","0","0"
"BCL2","1","0","1","0","0","0","0","0","0","0"
"NEDD8","1","0","1","0","0","0","0","0","0","0"
"TNFRSF14","1","0","1","0","0","0","0","0","0","0"
"IKBKG","1","0","1","0","0","0","0","0","0","0"
"UBE2G2","1","0","1","0","0","0","0","0","0","0"
"SDCBP","0","1","0","0","0","1","0","0","0","0"
"ARL4D","0","0","0","1","0","0","0","1","0","0"
"FYN","0","0","0","0","0","1","0","0","0","1"
"NME1","0","0","0","0","0","0","1","0","1","0"
"GNA15","0","1","0","1","0","0","0","1","0","0"
"HSPA1B","1","1","1","1","0","0","0","0","0","0"
"RIT1","0","0","0","1","0","0","1","1","1","0"
"RHOG","0","0","0","1","0","0","1","1","1","0"
"HSPA1A","1","1","1","1","0","0","0","0","0","1"
"CDC42","0","0","0","1","1","0","1","1","1","0"
"RAC1","0","0","0","1","1","0","1","1","1","0"
"ARF6","0","0","0","1","1","0","1","1","1","0"
